idproducto,titulo,descripcion,fecha_inicio,fecha_termino,precio,imagen,vendidos,tags,,,,
1,Mariposa Monarca y Valle de Bravo ¡Un lugar Mágico!,"<p>Cada año, este sitio es sede de un espectáculo natural fascinante: la migración de la mariposa monarca, un fenómeno exclusivo de esta especie, la cual puede identificarse por su color naranja, negro y blanco. Las monarcas dependen del algodoncillo para su supervivencia, y las orugas se alimentan exclusivamente de esta planta. Después de la migración anual a México, las mariposas hembras adultas regresan a las áreas donde crece el algodoncillo para poner los huevos. Durante el invierno, las amantes de la naturaleza provenientes de México y de todo el mundo visitan la región para tomar un tour por la reserva.&nbsp;</p>

<p></p><p>¡Un tour espectacular!</p>",2016-10-02 00:00:00,2016-10-09 23:59:00,11573,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33373/44fd1511afff763a5e16eb7a40ff1f069c385621.full.jpg,92,"pueblos mágicos,tlalpujahua,el oro,michoacan,tour 1 dia,autobus,guia",,,,
2,XLIV Festival Internacional Cevantino ¡Guanajuato te espera!,"<p>El Festival Internacional Cervantino (FIC) es el encuentro cultural y artístico más notable de América Latina y uno de los más emblemáticos en el mundo.Durante más de cuatro décadas ha sido foro de las expresiones más vitales del arte tradicional y contemporáneo. Por sus escenarios han pasado lo mismo Ella Fitzgerald que B.B. King, Martha Graham y Akira Kasai, Leonard Bernstein y Ricardo Muti, así como Ute Lemper y Rubén Blades.Este 2016, para su cuadragésima cuarta edición el FIC llevará a cabo la celebración más importante a nivel mundial en homenaje a Cervantes, al dar cita a las más destacadas expresiones de teatro, música y danza en torno a este autor, al tiempo que abrirá múltiples espacios de reflexión y discusión sobre su obra y vigencia.</p><p>¡Te lo recomendamos totalmente, diversión garantizada!</p>",2016-10-02 00:00:00,2016-10-18 23:59:00,44496,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33374/ea54a585e30d3a7cff6a923096457e02935ac4ee.full.jpg,30,"guia,festival,cervantino,guanajuato,2 dias,1 noche,transporte,guia de viaje",,,,
3,FIG 2016 con Transporte y Entrada ¡ÚLTIMOS 12 LUGARES!,"<p>Posicionado como uno de los 3 principales eventos de aerostación del mundo, el FIG te trae un espectáculo único en México y Latinoamérica, con un cielo lleno de colores presentando cientos de globos procedentes de todo el mundo, más de 30 figuras especiales y un sinfín de horas de eventos diseñados para toda la familia.</p><p>No te pierdas los increíbles despegues por la mañana, todas las actividades que tendremos para ti durante el día, para terminar con las espectaculares Noches mágicas; un incleíble show de música, luces y pirotecnia, con globos anclados a tierra, seguidos de nuestros conciertos presentando artistas de talla internacional.&nbsp;</p><br><p>¡No te pierdas de esta gran fiesta!</p>",2016-10-02 00:00:00,2016-11-15 23:59:00,31370,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33372/0e8acab18629906ec0241d454ecdb2f60bfe5666.full.jpg,47,"festival del globo,fig,2016,leon,globo,tour 1 dia,familiar",,,,
4,"Tajín y Tecolutla ¡ÚLTIMOS LUGARES, 09 OCTUBRE 429MXN!","<p>En medio de la selva, rodeada por el verde de los árboles y el azul del cielo, se alzan diversos edificios que conforman El Tajín, lo que alguna vez fue la capital de los totonacas. Se encuentra en la parte norte de Veracruz a pocos kilómetros del Pueblo Mágico de Papantla.</p><p>Se cree que el nombre El Tajín significa “ciudad del trueno”, haciendo alusión a un antiguo dios a quien le solicitaban lluvias. Hoy en día es reconocida como Patrimonio mundial por la UNESCO debido a la belleza de sus construcciones y a la importancia histórica y cultural que aporta al país.&nbsp;</p><p>¡Explórala y sorpréndete con sus pirámides y monumentos dedicados al dios-trueno!

</p>

<p>Tecolutla, conjugando en su nombre toda una serie de lugares paradisíacos, el estado de Veracruz es en sí mismo, una entidad turística y cultural única en su género, en donde podremos pasar una linda tarde en la playa y comiendo a la orilla del mar.

</p>



<p>¡El maravilloso estado de Veracruz te sorprende con un destino lleno de belleza natural!

</p><br>",2016-10-03 00:00:00,2016-10-06 23:59:00,55661,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33375/bd7f230d5a621af6a7e89b79a917baa849612dcc.full.jpg,24,"tecolutla,tajin,playa,zona ,arqueologica,piramides",,,,
5,SI TU NO VUELVES ¡Comedia Musical! 40%,"<p>Conforman esta historia dos personajes protagónicos (Miguel Martínez y

 Roberta Burns); un dueto de cantantes y cinco músicos. Historia que revela la relación de Juancho, un joven a la vez rebelde y soñador, repartidor de comida a domicilio y Tasia, actriz, que renunciando a la alta sociedad se da a la aventura de sobrevivir por sus propios medios.&nbsp;</p><p>Comedia romántica que relata, a través de canciones y melodías diversas, sobre un decorado de imágenes cambiantes, la ausencia de identidad, la búsqueda de la felicidad en pareja, la pérdida y la evolución espiritual.&nbsp;</p><p><strong>SI TU NO VUELVES</strong> Comedia/Concierto; un espectáculo enérgico, vital, revelador, divertido, entrañable.</p>",2016-10-03 00:00:00,2016-10-08 23:59:00,65314,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33377/d4141efc2771a2d7474f706a16f0b871348b798d.full.png,43,"obra,teatro,vuelves,concierto,comedia",,,,
6,Atrévete a entrar a ... La Jaula de las Locas 50%,"<p>Regresa a México 22 años después de su éxito durante la temporada de estreno. Esta espectacular comedia musical se ha producido en Broadway tres veces: 1983, 2004 y 2010, ganando en cada ocasión el Premio Tony al Mejor Musical del Año. 

</p>

<p>Ahora para deleite del público mexicano, está de regreso en una fastuosa versión que se presentará en el Teatro Hidalgo. Georges, el propietario de un centro nocturno en la Riviera Francesa y su pareja de muchos años, Albín, un travesti, reciben la visita de Michel, el hijo de Georges. Michel está por contraer matrimonio y los padres de su novia - un político de ultraderecha y su conservadora esposa -quieren conocer a los futuros consuegros. Durante un fin de semana, Georges y Albín deberán aparentar que llevan una vida ""normal"", dando pie a toda suerte de hilarantes enredos. A medida que avanza la trama, un emotivo desenlace sobre el verdadero significado del amor en pareja, la lealtad y el amor a los hijos, antecede a un espectacular cuadro musical.

</p>

<p>Elenco:

</p><p></p><ul><li>Mario Iván Martínez</li><li>Roberto Blandón</li><li>Aida Pierce</li><li>Israel Estrada</li><li>Rogelio Suárez</li></ul><p></p>",2016-10-03 00:00:00,2016-10-08 23:59:00,30123,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33381/d93d97346ba8e6f8084de13477a9b27b201a7104.full.png,2,"obra,musical,jaula,locas,comedia,teatro",,,,
7,Los Locos Suárez ¡Muere de la Risa! 50%,"<br><p>Descuentos electrizantes que te harán arañar la pared… ¡Pero corre, vuela y acelérate! pues estas ofertas sólo duran 48 horas.

</p>&nbsp;

<p>Sí, leíste bien ¡48 Horas!… Tic, Tac… Tic Tac…<br></p><p>El show #1 de Stand-up Comedy interpretado por padre e hijo, expone de manera hilarante la forma en que todos somos victimas y victimarios de un modelo educativo que se repite sistemáticamente en el mundo occidental.&nbsp;</p><p><br>

Elenco:<br>

- Héctor Suárez<br>

- Héctor Suárez Gomís<br></p><p></p>",2016-10-03 00:00:00,2016-10-08 23:59:00,34606,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33382/5eaf01c62b0e6705c5125aba3fa68a8cededf7a7.full.png,49,"comedia,suarez,teatro,",,,,
8,"Paga $29 y obtén 30% de Descuento para ""I.D.I.O.T.A""","<h4>IDIOTA

</h4><p><strong>IDIOTA</strong> cuenta la experiencia de un hombre que se presenta a unas muy bien remuneradas pruebas psicológicas que forman parte de un experimento de una importante fundación, lo que el hombre cree una manera sencilla de solucionar sus problemas económicos se convertirá en una auténtica trampa, tanto física como psicológica, nos dice el autor Jordi Casanovas.

</p><p>

Un juego que situará al protagonista al límite de su paciencia y su razón, y que retará al espectador a resolver los diferentes obstáculos que se le presenten al protagonista.&nbsp;</p><p>

Ingeniosamente la trama nos lleva de la comedia, a la comedia negra y finalmente al thriller. Un oportunista (Jesús Ochoa)  ingenioso y hasta parlanchín contra una psicóloga (Itati Cantoral) dura y determinada a llevarlo al extremo. Un duelo de personalidades y actuaciones, de la risa a la intriga, es un artilugio teatral donde el espectador se cree más inteligente que el personaje, el objetivo de la obra es descubrir hasta dónde hay que llegar para que las personas dejen de ser idiotas. Los más probable es que al final sepamos cómo no ser idiotas.</p><p>Elenco:</p><p></p><ul><li>Itatí Cantoral</li><li>Jesús Ochoa&nbsp;</li></ul><p></p>",2016-10-03 00:00:00,2016-10-08 23:59:00,56496,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33387/a934d5af4677675ed7ace51e3f69d7646f71b47a.full.png,22,"obra,teatro,idiota,drama",,,,
9,"Paga $29 y obtén 50% Descuento para ""SCOOBY DOO El Musical""","<h4>SCOOBY-DOO!

</h4><p><strong>Scooby –Doo!</strong> y su pandilla llegan al Teatro Banamex para resolver el misterio del teatro embrujado! En este musical en vivo, para toda la familia, ayudarás a Shaggy, Fred, Daphne, Vilma y Scooby a resolver el misterio de un fantasma que recorre el teatro. Tu ayuda será esencial para atrapar al malo. <strong>¡</strong><strong>Scooby Dooby Doo! Scooby -Doo!</strong> y la pandilla Mystery Inc., haciéndose pasar por una banda de rock, llegan a la Ciudad directo al Teatro Banamex Santa Fe. El Gerente del Teatro, Walt Warner, asegura haber creado un fantasma para atraer al público a su teatro. Sin embargo, al hacerlo, parece que ha atraído a uno verdadero que ahora asusta al público y artistas por igual. Alguien claramente quiere cerrar el teatro y se hace pasar por un fantasma para ese fin. Scooby y la pandilla de Mystery Inc. están decididos a descubrir el misterio.</p>",2016-10-03 00:00:00,2016-10-08 23:59:00,52072,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33388/472841090b7fb2a8e62a5978e52262fce63e1967.full.png,80,"obra,teatro,musical,niños,scooby,doo",,,,
10,"Paga $29 y obtén 40% de Descuento para ""VERDAD O RETO""","<p></p><h4><span style=""color: inherit; font-family: inherit;"">VERDAD O RETO&nbsp;</span></h4><p></p><p>Es un musical con éxitos pop de la década de los noventa, que habla sobre la amistad y la importancia de ser verdaderos.

</p><p>La obra trata sobre un grupo de amigos que, después de muchos años de no verse, deciden juntarse un fin de semana en una casa de verano en Acapulco. Pero durante este fin, se les va la luz, les llueve a cántaros y se quedan sin dispositivos electrónicos absolutamente incomunicados. Por lo que sólo les queda convivir.

</p><p>Es entonces que a la organizadora de la reunión, se le ocurre una gran idea: jugar botella <strong>“Verdad o Reto“</strong>, y comienzan a salir las verdades… Y nada después de ese fin de semana, volverá a ser lo que era antes.</p>",2016-10-03 00:00:00,2016-10-08 23:59:00,55993,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33389/919b0aee5f04d1e88ca0e7c37c68fc82af269d4c.full.png,27,"obra,musical,verdad,reto,90s",,,,
